"","Total Number of reads for each species across all samples"
"Glaciihabitans sp. INWT7",552
"Gryllotalpicola protaetiae",697
"Herbiconiux sp. SALV-R1",585
"Humibacter sp. WJ7-1",1458
"Leifsonia shinshuensis",862
"Leifsonia sp. 21MFCrub1.1",1261
"Leifsonia sp. PS1209",824
"Leifsonia sp. ZF2019",883
"Leifsonia xyli",767
"Leucobacter coleopterorum",386
"Leucobacter denitrificans",372
"Leucobacter insecticola",395
"Leucobacter luti",1243
"Leucobacter muris",1364
"Leucobacter sp. CX169",850
"Leucobacter sp. NB 10",1066
"Leucobacter sp. Psy1",920
"Leucobacter triazinivorans",3387
"Leucobacter viscericola",518
"Marisediminicola antarctica",583
"Microbacterium amylolyticum",1011
"Microbacterium atlanticum",1534
"Microbacterium aurum",3552
"Microbacterium binotii",612
"Microbacterium caowuchunii",805
"Microbacterium chengjingii",498
"Microbacterium chocolatum",1013
"Microbacterium cremeum",1497
"Microbacterium endophyticum",392
"Microbacterium esteraromaticum",982
"Microbacterium fandaimingii",639
"Microbacterium foliorum",2681
"Microbacterium hominis",8252
"Microbacterium hydrocarbonoxydans",843
"Microbacterium lemovicicum",1082
"Microbacterium lushaniae",729
"Microbacterium luteum",2080
"Microbacterium oleivorans",2395
"Microbacterium oryzae",1314
"Microbacterium oxydans",1185
"Microbacterium paludicola",341
"Microbacterium paraoxydans",764
"Microbacterium protaetiae",1079
"Microbacterium pygmaeum",856
"Microbacterium resistens",954
"Microbacterium schleiferi",1856
"Microbacterium sediminis",2633
"Microbacterium sp. 1.5R",501
"Microbacterium sp. 10M-3C3",2210
"Microbacterium sp. 1S1",1470
"Microbacterium sp. 4R-513",1785
"Microbacterium sp. A18JL241",3419
"Microbacterium sp. ABRD_28",1117
"Microbacterium sp. BH-3-3-3",1194
"Microbacterium sp. CBA3102",1300
"Microbacterium sp. CGR1",397
"Microbacterium sp. cx-55",1143
"Microbacterium sp. H1-D42",1327
"Microbacterium sp. JZ31",1534
"Microbacterium sp. LKL04",1907
"Microbacterium sp. NIBRBAC000506063",2056
"Microbacterium sp. No. 7",3517
"Microbacterium sp. Nx66",1460
"Microbacterium sp. PAMC 28756",380
"Microbacterium sp. PAMC22086",220
"Microbacterium sp. PM5",1709
"Microbacterium sp. RG1",688
"Microbacterium sp. Se63.02b",616
"Microbacterium sp. SGAir0570",282
"Microbacterium sp. str. 'China'",288
"Microbacterium sp. TPU 3598",977
"Microbacterium sp. XT11",1560
"Microbacterium sp. Y-01",1584
"Microbacterium sp. YJN-G",2656
"Microbacterium testaceum",1191
"Microbacterium wangchenii",692
"Microcella alkaliphila",390
"Microcella flavibacter",712
"Microterricola viridarii",1655
"Mycetocola sp. JXN-3",660
"Mycetocola sp. MSC19",648
"Mycetocola zhujimingii",445
"Plantibacter flavus",442
"Plantibacter sp. M259",354
"Plantibacter sp. PA-3-X8",535
"Pontimonas salivibrio",96
"Protaetiibacter intestinalis",963
"Protaetiibacter larvae",567
"Protaetiibacter sp. SSC-01",1043
"Pseudoclavibacter sp. Marseille-Q3772",361
"Rathayibacter festucae",1041
"Rathayibacter iranicus",342
"Rathayibacter rathayi",268
"Rathayibacter sp. VKM Ac-2759",823
"Rathayibacter sp. VKM Ac-2760",536
"Rathayibacter sp. VKM Ac-2762",281
"Rathayibacter sp. VKM Ac-2801",548
"Rathayibacter sp. VKM Ac-2804",450
"Rathayibacter sp. VKM Ac-2805",116
"Rathayibacter tanaceti",472
"Rathayibacter toxicus",192
"Rathayibacter tritici",301
"Rhodoluna Candidatus Rhodoluna planktonica",116
"Rhodoluna lacicola",125
"Rhodoluna limnophila",178
"Salinibacterium hongtaonis",329
"Salinibacterium sp. dk2585",570
"Salinibacterium sp. M195",219
"Salinibacterium sp. UTAS2018",332
"Salinibacterium sp. ZJ450",727
"Salinibacterium sp. ZJ70",525
"Subtercola sp. AK-R2A1-2",471
"Subtercola sp. PAMC28395",442
"Arthrobacter agilis",1028
"Arthrobacter alpinus",2759
"Arthrobacter citreus",496
"Arthrobacter crystallopoietes",1393
"Arthrobacter dokdonellae",1171
"Arthrobacter jiangjiafuii",619
"Arthrobacter sp. 24S4-2",585
"Arthrobacter sp. C1-1",542
"Arthrobacter sp. D5-1",972
"Arthrobacter sp. ERGS1:01",812
"Arthrobacter sp. FB24",957
"Arthrobacter sp. FW305-BF8",551
"Arthrobacter sp. FW306-05-C",234
"Arthrobacter sp. FW306-06-A",188
"Arthrobacter sp. FW306-07-I",159
"Arthrobacter sp. FW306-2-2C-D06B",721
"Arthrobacter sp. KBS0702",829
"Arthrobacter sp. NicSoilB11",434
"Arthrobacter sp. NicSoilB4",582
"Arthrobacter sp. NicSoilB8",739
"Arthrobacter sp. NicSoilC5",842
"Arthrobacter sp. NtRootA1",456
"Arthrobacter sp. PAMC 25486",685
"Arthrobacter sp. PAMC25284",511
"Arthrobacter sp. PAMC25564",599
"Arthrobacter sp. PGP41",718
"Arthrobacter sp. PM3",600
"Arthrobacter sp. QXT-31",659
"Arthrobacter sp. StoSoilA2",572
"Arthrobacter sp. StoSoilB13",284
"Arthrobacter sp. StoSoilB19",129
"Arthrobacter sp. StoSoilB20",517
"Arthrobacter sp. StoSoilB5",579
"Arthrobacter sp. U41",513
"Arthrobacter sp. UKPF54-2",713
"Arthrobacter sp. YN",570
"Arthrobacter sp.",91
"Arthrobacter sulfonylureivorans",688
"Arthrobacter sunyaminii",616
"Arthrobacter woluwensis",747
"Auritidibacter sp. NML130574",366
"Citricoccus sp. SGAir0253",788
"Glutamicibacter arilaitensis",10037
"Glutamicibacter creatinolyticus",1343
"Glutamicibacter halophytocola",21021
"Glutamicibacter mishrai",37071
"Glutamicibacter nicotianae",10146
"Glutamicibacter protophormiae",21593
"Glutamicibacter sp. ZJUTW",4262
"Kocuria flava",658
"Kocuria indica",249
"Kocuria palustris",972
"Kocuria rhizophila",1003
"Kocuria rosea",815
"Kocuria sp. BT304",150
"Kocuria sp. KD4",167
"Kocuria sp. TGY1127_2",566
"Kocuria turfanensis",939
"Kocuria varians",780
"Micrococcus luteus",2975
"Micrococcus sp. A1",65
"Micrococcus sp. KD337-16",560
"Neomicrococcus aestuarii",15861
"Nesterenkonia sp. NBAIMH1",852
"Paenarthrobacter aurescens",925
"Paenarthrobacter nicotinovorans",27
"Paenarthrobacter sp. YJN-5",484
"Paenarthrobacter sp. YJN-D",198
"Paenarthrobacter ureafaciens",1724
"Paeniglutamicibacter sp. Y32M11",748
"Pseudarthrobacter chlorophenolicus",712
"Pseudarthrobacter equi",670
"Pseudarthrobacter phenanthrenivorans",1151
"Pseudarthrobacter psychrotolerans",365
"Pseudarthrobacter sp. BIM B-2242",597
"Pseudarthrobacter sp. L1SW",525
"Pseudarthrobacter sp. NBSH8",324
"Pseudarthrobacter sp. NIBRBAC000502770",85
"Pseudarthrobacter sp. NIBRBAC000502771",296
"Pseudarthrobacter sp. NIBRBAC000502772",373
"Pseudarthrobacter sulfonivorans",361
"Psychromicrobium lacuslunae",429
"Renibacterium salmoninarum",320
"Rothia aeria",449
"Rothia amarae",1963
"Rothia dentocariosa",750
"Rothia kristinae",1415
"Rothia mucilaginosa",1457
"Rothia nasimurium",1141
"Rothia sp. ZJ932",264
"Rothia terrae",2968
"Sinomonas atrocyanea",730
"Sinomonas sp. R1AF57",586
"Ornithinimicrobium avium",623
"Ornithinimicrobium ciconiae",482
"Ornithinimicrobium flavum",661
"Ornithinimicrobium pratense",509
"Ornithinimicrobium sp. HY006",589
"Ornithinimicrobium sp. INDO-MA30-4",287
"Serinicoccus chungangensis",428
"Serinicoccus hydrothermalis",510
"Serinicoccus marinus",627
"Serinicoccus profundi",491
"Cellulosimicrobium cellulans",4706
"Cellulosimicrobium sp. 72-3",233
"Cellulosimicrobium sp. BI34T",1054
"Cellulosimicrobium sp. JZ28",314
"Cellulosimicrobium sp. TH-20",114
"Isoptericola dokdonensis",738
"Isoptericola variabilis",726
"Xylanimicrobium sp. FW10M-9",800
"Xylanimonas allomyrinae",835
"Xylanimonas cellulosilytica",678
"Pengzhenrongella sicca",770
"Ruania alkalisoli",524
"Ruania Haloactinobacterium kanbiaonis",880
"Ruania sp. LR1S40",565
"Ruania sp. M4N3S171",440
"Ruania zhangjianzhongii",739
"Sanguibacter keddieii",760
"Sanguibacter sp. HDW7",5620
"Actinocatenispora sera",985
"Actinocatenispora thailandica",1050
"Actinoplanes derwentensis",1136
"Actinoplanes friuliensis",1446
"Actinoplanes ianthinogenes",1212
"Actinoplanes missouriensis",1050
"Actinoplanes sp. L3-i22",2064
"Actinoplanes sp. N902-109",1232
"Actinoplanes sp. OR16",1534
"Actinoplanes teichomyceticus",1056
"Catellatospora sp. IY07-71",1153
"Dactylosporangium vinaceum",1652
"Micromonospora aurantiaca",1728
"Micromonospora auratinigra",845
"Micromonospora carbonacea",969
"Micromonospora chokoriensis",744
"Micromonospora coriariae",527
"Micromonospora coxensis",753
"Micromonospora craniellae",678
"Micromonospora echinaurantiaca",995
"Micromonospora echinofusca",1164
"Micromonospora echinospora",726
"Micromonospora endophytica (Xie et al. 2001) Li et al. 2019",775
"Micromonospora ferruginea",883
"Micromonospora inositola",724
"Micromonospora krabiensis",1033
"Micromonospora maris",674
"Micromonospora narathiwatensis",657
"Micromonospora purpureochromogenes",700
"Micromonospora rifamycinica",520
"Micromonospora sagamiensis",792
"Micromonospora siamensis",736
"Micromonospora sp. B006",578
"Micromonospora sp. HM134",651
"Micromonospora sp. L5",865
"Micromonospora sp. WMMA2032",797
"Micromonospora sp. WMMC415",632
"Micromonospora terminaliae",800
"Micromonospora tulbaghiae",656
"Micromonospora viridifaciens",804
"Micromonospora zamorensis",647
"Natronosporangium hydrolyticum",688
"Phytohabitans flavus",1263
"Phytohabitans suffuscus",1582
"Plantactinospora sp. BB1",475
"Plantactinospora sp. BC1",569
"Plantactinospora sp. KBS50",723
"Polymorphospora rubra",960
"Salinispora tropica",578
"Verrucosispora sp. NA02020",728
"Nakamurella antarctica",292
"Nakamurella multipartita",1140
"Nakamurella panacisegetis",551
"Nakamurella sp. PAMC28650",570
"Actinopolymorpha singaporensis",816
"Kribbella flavida",917
"Kribbella qitaiheensis",882
"Aeromicrobium chenweiae",569
"Aeromicrobium choanae",1527
"Aeromicrobium erythreum",763
"Aeromicrobium marinum",455
"Aeromicrobium sp. A1-2",462
"Aeromicrobium sp. zg-629",496
"Aeromicrobium yanjiei",380
"Friedmanniella luteola",798
"Marmoricola scoriae",712
"Micropruina glycogenica",2308
"Mumia sp. ZJ1417",564
"Nocardioides anomalus",1026
"Nocardioides aquaticus",668
"Nocardioides aromaticivorans",761
"Nocardioides baekrokdamisoli",314
"Nocardioides cynanchi",654
"Nocardioides daphniae",1137
"Nocardioides dokdonensis",720
"Nocardioides dongkuii",619
"Nocardioides euryhalodurans",723
"Nocardioides houyundeii",605
"Nocardioides humi",1140
"Nocardioides jishulii",477
"Nocardioides marinisabuli",671
"Nocardioides mesophilus",635
"Nocardioides okcheonensis",1235
"Nocardioides panacisoli",674
"Nocardioides piscis",759
"Nocardioides rotundus",828
"Nocardioides sambongensis",610
"Nocardioides seonyuensis",661
"Nocardioides sp. 603",672
"Nocardioides sp. CF8",1367
"Nocardioides sp. cx-173",876
"Nocardioides sp. dk884",849
"Nocardioides sp. G188",927
"Nocardioides sp. HDW12B",884
"Nocardioides sp. JQ2195",521
"Nocardioides sp. JS614",816
"Nocardioides sp. Kera G14",608
"Nocardioides sp. LMS-CY",1305
"Nocardioides sp. MC1495",927
"Nocardioides sp. S-1144",1026
"Nocardioides sp. S5",1934
"Nocardioides sp. SCSIO 67246",640
"Nocardioides sp. TF02-7",758
"Nocardioides sp. WS12",924
"Nocardioides sp. zg-1228",1569
"Nocardioides sp. zg-536",699
"Nocardioides sp. zg-579",882
"Nocardioides sp. ZJ1313",776
"Nocardioides ungokensis",777
"Nocardioides yefusunii",755
"Pimelobacter simplex",873
"Acidipropionibacterium acidipropionici",1511
"Acidipropionibacterium jensenii",2107
"Acidipropionibacterium virtanenii",402
"Arachnia propionica",1892
"Arachnia rubra",409
"Auraticoccus monumenti",708
"Brevilactibacter coleopterorum",2551
"Brevilactibacter sp. MC1595",3672
"Cutibacterium acnes",504
"Cutibacterium avidum",1182
"Cutibacterium granulosum",282
"Cutibacterium modestum",305
"Microlunatus elymi",697
"Microlunatus phosphovorus",1157
"Microlunatus sagamiharensis",1007
"Microlunatus soli",846
"Microlunatus sp. Gsoil 973",653
"Propionibacterium acidifaciens",918
"Propionibacterium australiense",670
"Propionibacterium freudenreichii",2418
"Raineyella fluvialis",520
"Tessaracoccus aquimaris",2570
"Tessaracoccus defluvii",2516
"Tessaracoccus flavescens",5682
"Tessaracoccus flavus",923
"Tessaracoccus sp. J1M15",4220
"Tessaracoccus sp. MC1865",680
"Tessaracoccus timonensis",1254
"Vaginimicrobium propionicum",179
"Actinoalloteichus hoggarensis",1348
"Actinoalloteichus hymeniacidonis",627
"Actinosynnema mirum",246
"Actinosynnema pretiosum",1787
"Alloactinosynnema sp. L-07",708
"Allokutzneria albata",966
"Allosaccharopolyspora coralli",560
"Amycolatopsis acidiphila",974
"Amycolatopsis aidingensis",846
"Amycolatopsis albispora",3967
"Amycolatopsis japonica",606
"Amycolatopsis keratiniphila",1034
"Amycolatopsis mediterranei",1270
"Amycolatopsis methanolica",796
"Amycolatopsis orientalis",785
"Amycolatopsis sp. AA4",880
"Amycolatopsis sp. BJA-103",646
"Amycolatopsis sp. CA-230715",1357
"Amycolatopsis sp. DSM 110486",1297
"Amycolatopsis sp. EV170708-02-1",841
"Amycolatopsis sp. FDAARGOS 1241",992
"Amycolatopsis sp. FU40",797
"Amycolatopsis sp. Hca4",1498
"Amycolatopsis sp. TNS106",707
"Amycolatopsis sp. YIM 10",1142
"Kibdelosporangium phytohabitans",1427
"Kutzneria albida",1073
"Kutzneria sp. CA-103260",1446
"Lentzea guizhouensis",1119
"Prauserella marina",730
"Pseudonocardia abyssalis",956
"Pseudonocardia autotrophica",1635
"Pseudonocardia broussonetiae",1106
"Pseudonocardia dioxanivorans",1595
"Pseudonocardia sp. AL041005-10",863
"Pseudonocardia sp. CGMCC 4.1532",935
"Pseudonocardia sp. DSM 110487",1760
"Pseudonocardia sp. HH130629-09",1030
"Pseudonocardia sp. HH130630-07",1429
"Saccharomonospora azurea",518
"Saccharomonospora cyanea",688
"Saccharomonospora glauca",666
"Saccharomonospora marina",645
"Saccharomonospora viridis",636
"Saccharomonospora xinjiangensis",408
"Saccharopolyspora erythraea",1541
"Saccharopolyspora pogona",581
"Saccharopolyspora sp. ASAGF58",427
"Saccharopolyspora spinosa",647
"Saccharothrix espanaensis",1163
"Saccharothrix sp. 6-C",1216
"Saccharothrix syringae",1730
"Epidermidibacterium keratini",4797
"Kitasatospora albolonga",734
"Kitasatospora aureofaciens",975
"Kitasatospora setae",1206
"Kitasatospora sp. MMS16-BH015",1119
"Kitasatospora sp. NA04385",1192
"Streptacidiphilus bronchialis",1036
"Streptacidiphilus sp. P02-A3a",1434
"Streptacidiphilus sp. PB12-B1b",1007
"Streptomyces actuosus",1139
"Streptomyces albidoflavus",1675
"Streptomyces albireticuli",1296
"Streptomyces alboflavus",1281
"Streptomyces alboniger",696
"Streptomyces albulus",957
"Streptomyces albus",2095
"Streptomyces alfalfae",3884
"Streptomyces ambofaciens",882
"Streptomyces angustmyceticus",751
"Streptomyces antibioticus",1174
"Streptomyces antimycoticus",438
"Streptomyces anulatus",1776
"Streptomyces aquilus",1254
"Streptomyces armeniacus",1350
"Streptomyces asoensis",1066
"Streptomyces atratus",952
"Streptomyces auratus",469
"Streptomyces aureoverticillatus",1025
"Streptomyces autolyticus",520
"Streptomyces avermitilis",750
"Streptomyces bathyalis",958
"Streptomyces bingchenggensis",1412
"Streptomyces broussonetiae",852
"Streptomyces buecherae",1766
"Streptomyces cadmiisoli",1044
"Streptomyces californicus",796
"Streptomyces calvus",735
"Streptomyces capitiformicae",988
"Streptomyces cattleya",1194
"Streptomyces cavourensis",527
"Streptomyces chartreusis",2000
"Streptomyces chromofuscus",631
"Streptomyces cinereoruber",992
"Streptomyces clavuligerus",1088
"Streptomyces coelicolor",266
"Streptomyces coeruleorubidus",554
"Streptomyces collinus",1080
"Streptomyces cyaneochromogenes",1107
"Streptomyces cyaneogriseus",656
"Streptomyces cyanogenus",643
"Streptomyces dangxiongensis",672
"Streptomyces davaonensis",1157
"Streptomyces deccanensis",852
"Streptomyces decoyicus",850
"Streptomyces dengpaensis",665
"Streptomyces exfoliatus",878
"Streptomyces fagopyri",759
"Streptomyces ferrugineus",802
"Streptomyces ficellus",829
"Streptomyces finlayi",779
"Streptomyces fodineus",664
"Streptomyces formicae",849
"Streptomyces fradiae",2746
"Streptomyces fungicidicus",705
"Streptomyces galilaeus",735
"Streptomyces gardneri",723
"Streptomyces genisteinicus",1204
"Streptomyces gilvosporeus",923
"Streptomyces glaucescens",882
"Streptomyces globisporus",1167
"Streptomyces globosus",1612
"Streptomyces glomeroaurantiacus",1002
"Streptomyces gobiensis",783
"Streptomyces griseocarneus",977
"Streptomyces griseochromogenes",1025
"Streptomyces griseofuscus",2576
"Streptomyces griseorubiginosus",1353
"Streptomyces griseoviridis",1140
"Streptomyces griseus",1293
"Streptomyces harbinensis",934
"Streptomyces hawaiiensis",640
"Streptomyces huasconensis",713
"Streptomyces hundungensis",1082
"Streptomyces hygroscopicus",2908
"Streptomyces incarnatus",659
"Streptomyces inhibens",876
"Streptomyces kanamyceticus",872
"Streptomyces katrae",854
"Streptomyces koyangensis",825
"Streptomyces lavendulae",1008
"Streptomyces leeuwenhoekii",584
"Streptomyces liangshanensis",939
"Streptomyces lincolnensis",1074
"Streptomyces lividans",23535
"Streptomyces lunaelactis",816
"Streptomyces luteoverticillatus",1075
"Streptomyces lydicus",3019
"Streptomyces malaysiensis",444
"Streptomyces microflavus",1458
"Streptomyces mirabilis",929
"Streptomyces mobaraensis",8026
"Streptomyces murinus",536
"Streptomyces nigra",799
"Streptomyces nitrosporeus",1040
"Streptomyces niveus",1809
"Streptomyces nodosus",793
"Streptomyces nojiriensis",871
"Streptomyces noursei",371
"Streptomyces olivaceus",1761
"Streptomyces olivoreticuli",1090
"Streptomyces pactum",673
"Streptomyces paludis",1113
"Streptomyces parvulus",658
"Streptomyces peucetius",1086
"Streptomyces phaeolivaceus",993
"Streptomyces platensis",420
"Streptomyces pluripotens",764
"Streptomyces prasinus",795
"Streptomyces pratensis",846
"Streptomyces pristinaespiralis",907
"Streptomyces qaidamensis",876
"Streptomyces qinzhouensis",864
"Streptomyces rapamycinicus",1096
"Streptomyces rectiverticillatus",984
"Streptomyces rimosus",1219
"Streptomyces rochei",190
"Streptomyces roseirectus",1025
"Streptomyces roseochromogenus",710
